name,COG0016,COG0048,COG0049,COG0051,COG0052,COG0072,COG0080,COG0081,COG0087,COG0088,COG0090,COG0091,COG0092,COG0093,COG0094,COG0096,COG0097,COG0098,COG0099,COG0100,COG0103,COG0127,COG0149,COG0164,COG0184,COG0185,COG0186,COG0197,COG0198,COG0200,COG0244,COG0256,COG0343,COG0504,COG0532,COG0533,COG0541,PCA_Score1(0.3788800313633495),PCA_Score2(0.08864301227468922),PCA_Score3(0.05932774093286737)
GCA_000193375,0.493800285,0.433876319,0.374229367,0.236254192,0.165697546,0.090901827,0.424301363,0.155564339,0.260590325,0.371311503,0.124409681,0.074240896,0.168720226,0.254409752,0.259512805,0.340820195,0.230000958,0.188505584,0.462740117,0.416340071,0.141035784,0.171983874,0.222263924,0.148438075,0.410336553,0.428311894,0.642191369,0.21250845,0.348763266,0.429201817,0.505834495,0.35894634,0.119676079,0.207543046,0.297882454,0.157100498,0.371697507,-0.9778565293230527,-2.732654180608234,-0.5503152281537229
GCA_000194625,0.234753809,0.153489717,0.127721963,0.270245178,0.239849606,0.378310039,0.058030708,0.197190715,0.25263357,0.168109963,0.538167796,0.467068791,0.205048833,0.264243314,0.143645307,0.184257522,0.28784737,0.287826788,0.354117658,0.05516204,0.219994689,0.093795521,0.163217798,0.076565247,0.199144503,0.21891842,0.24122914,0.255874359,0.112300367,0.686633257,0.14251935,0.302089186,0.319949094,0.262944085,0.376484171,0.254155361,0.251312654,-2.696531615550455,3.2600111034995676,-0.8127159495819789
GCA_000200715,0.121770972,0.319772847,0.846844331,0.167195332,0.379628627,0.589209889,0.178010136,0.634450965,0.77872257,0.330790275,0.900490456,0.553559021,0.607118333,0.789611758,0.2107598,0.810313531,0.607856163,0.79896325,0.224612103,0.264060796,0.794516517,0.08076743,0.468919715,0.155648236,0.839157362,0.20415067,0.07638443,0.210599033,0.65134277,0.693684214,0.291386076,0.784586507,0.374057178,0.255862111,0.671742845,0.197029037,0.095049777,4.543559868679437,3.0860156952050026,-3.3506826309641515
GCA_000217715,,,,0.958347744,0.702462998,,0.620572533,0.714638014,,,0.879919765,,,0.799621881,0.882627663,,,1.0,0.890926871,,0.709902144,,0.543339134,0.726806147,,0.543766547,0.795264516,,,,,,,0.900906057,,0.896550591,,6.625720296377538,1.9602579915789275,-0.24040745301840588
GCA_000217995,0.351414811,0.278806713,0.101467561,0.300441766,0.313983187,0.385461449,0.098181919,0.259487442,0.331783172,0.309173377,0.62831001,0.448564776,0.462515641,0.465267431,0.41331007,0.233672057,0.243262729,0.416933519,0.457300979,0.103335459,0.323613502,0.073283226,0.518394144,0.414235903,0.200528377,0.042612233,0.473910934,0.623596777,0.120478798,0.631007313,0.205641501,0.450413969,0.469788429,0.268831136,0.763634338,0.324424216,,0.863146036340558,4.060959197515005,-2.1916318162225994
GCA_000220175,0.137900496,0.32888921,0.852482357,0.168040438,0.797782048,0.987373433,0.145106939,0.732275339,0.922636526,0.360316295,0.974201755,0.6795032,0.712020751,0.784429458,0.21901603,0.966503478,0.749065556,0.940761601,0.310823289,0.258988032,0.951267106,0.130186416,0.731398738,0.256175225,0.972430783,0.201071783,0.08543215,0.20083865,0.837791605,0.764126269,0.290485406,0.890765827,0.654385772,0.283089903,0.928897437,0.207378234,0.112919374,7.822161493580144,5.460626588309383,-3.8127969009175304
GCA_000220355,,0.066975377,,0.146613027,0.102503318,0.072632634,,0.26240888,,,0.385511271,,,0.251761611,0.217816439,0.24131914,,0.240885746,0.080016629,0.311906434,0.060166971,,0.323189298,0.165722133,,0.072838226,,,0.505683521,,,,,,,0.123021488,,-2.118597823097615,-0.35847335299184985,-0.7132715397802255
GCA_000223395,0.288015258,0.857383212,0.638386924,0.464732372,0.143175831,0.135331084,0.569765491,0.840919881,0.972760331,0.739051905,0.341520228,0.261161703,0.23162881,0.16563948,0.84633669,0.744560161,0.549402575,0.315960209,0.559288998,0.669045136,0.174737649,0.242094846,0.325017219,0.734040193,0.723083255,0.624249755,0.739705035,0.661304933,0.389596901,0.840399901,0.739983322,1.0,,0.211957008,0.698596521,0.267421572,,7.110473028177153,-3.9880329362545397,-1.4429375097983488
GCA_000230735,,,,0.94284806,0.678104174,,0.634140147,0.736425961,,,0.827907625,,,0.775519016,0.805028265,,,0.967033724,0.868491985,,0.69789586,,0.559605833,0.755163805,,0.508143636,0.817452506,,,,,,,0.894028861,,0.817033292,,6.392812029475496,1.7449599850145803,-0.29507548389840405
GCA_000235565,0.552955025,0.194663688,0.124201206,0.278278954,0.288895778,0.335477226,0.088880393,0.256730897,0.296049984,0.187198424,0.829468324,0.441129446,0.406595283,0.381853695,0.387139353,0.221805755,0.272382157,0.419740567,0.443005055,0.080031947,0.336035773,0.130099411,0.310914051,0.516417814,0.125303336,0.006113541,0.376203766,0.418949701,0.083273009,0.432045118,0.149641413,0.365893097,0.381069506,0.259667473,0.752137789,0.340291124,0.390949555,-0.12038735185224844,4.2016496061976625,-1.7216168930437061
GCA_000243455,0.126827688,0.072046698,0.113470182,0.051394922,0.145279969,0.078559183,0.069412199,0.07785821,0.143331563,0.219160736,0.459435614,0.372095349,0.048478927,0.130568412,0.178175985,0.470451964,0.507615392,0.373452312,0.038679183,0.130884814,0.08237168,0.106560489,0.162884722,0.03686672,0.09008367,0.198699179,0.182576158,0.166866211,0.143705081,0.130357409,0.113845575,0.340454029,0.220677158,0.02963731,0.186142984,0.151724325,0.283800726,-5.1335358956865225,1.2651417481566714,-1.1476692196032667
GCA_000247545,0.421197506,0.459413276,0.36037168,0.330054374,0.153057696,0.090543361,0.429574938,0.17207311,0.27190506,0.341831487,0.128651174,0.0775946,0.161896374,0.211939937,0.265086579,0.345678488,0.205267814,0.190345138,0.455496608,0.443513768,0.118245483,0.188013739,0.228112802,0.153072725,0.406697108,0.506351707,0.650555437,0.243522852,0.376820549,0.392903044,0.456692941,0.421134519,0.101193098,0.189196818,0.292862533,0.188423762,0.337660564,-0.8990209275633717,-2.8943142815535237,-0.38737295548747225
GCA_000251105,0.058927842,0.205214298,0.067283112,0.281002739,0.287804971,0.01831231,0.093416456,0.257142817,0.319444974,0.162646552,0.529364052,0.381904412,0.35687291,0.438393081,0.404687189,0.270954702,0.219955237,0.365458349,0.60672225,0.077202143,0.30970737,0.071874024,0.015962856,0.194562075,0.147509962,0.042632642,0.38999664,0.414395144,0.162971293,0.49993957,0.220015489,0.309469988,0.439023209,0.3074847,0.689959111,0.359313953,0.344561675,-1.420405871156881,3.259240800166478,-1.2715716142802143
GCA_000258425,0.243792054,0.595792893,0.548372171,0.607254896,0.128772736,0.142771974,0.503221266,0.397847895,0.319487502,0.46928996,0.283793408,0.191838406,0.223634355,0.195189878,0.60993628,0.389456027,0.353218097,0.223366363,0.54588908,0.6715433,0.139517102,0.308242069,0.239792326,0.550862836,0.568321442,0.310670985,0.315332973,0.342641418,0.361994924,0.4212821,0.498490564,0.507715707,0.117490913,0.131286284,0.402989805,0.232607683,,1.6587612380700065,-3.429118673738838,-0.5693279021539112
GCA_000264495,0.77012055,0.640950945,0.526215456,0.442230793,0.160295607,0.072292408,0.534571389,0.514449409,0.433803956,0.596938014,0.33059994,0.290239406,0.282460252,0.190574192,0.718213299,0.56951499,0.420579759,0.354253358,0.384067516,0.627240566,0.179340246,0.324468493,0.676529519,0.606459416,0.687469438,0.573908828,0.700462249,0.385924269,0.414125167,0.560443344,0.600891757,0.602004869,0.11535333,0.177153576,0.563266493,0.323969483,,4.500340911548337,-3.907614109179704,-0.5257381869516482
GCA_000270325,0.101886137,0.40909351,0.427733041,0.156869981,0.271516001,0.115902649,0.340765864,0.143578264,0.159515246,0.267907346,0.13931605,0.119165801,0.109418072,0.443346273,0.295652806,0.272852568,0.203970375,0.074147891,0.168084705,0.260705134,0.120352692,0.213133972,0.140773243,0.299009419,0.359625499,0.279790804,0.152492944,0.131385925,0.041957752,0.221661006,0.331220807,0.161385099,0.077244774,0.370249837,,0.149946225,0.311783771,-3.3912532141792675,-1.7985548676976215,-0.8401434438722624
GCA_000308215,0.74330392,0.611589664,0.114101153,0.430372595,0.595619278,0.197920498,0.364423981,0.649068191,0.597585034,0.042708252,0.195023496,0.794022031,0.565230458,0.204924999,0.345638487,0.149138908,0.497549889,0.757632181,0.309596993,0.145721187,0.274249062,0.442842682,0.154474929,0.249268025,0.230378145,0.688347447,0.234023264,0.392592041,0.344106296,0.655155856,0.671215504,0.098531361,0.610038521,0.132343663,0.363506995,0.451330465,0.300671268,2.5723298942783988,2.9148569153114656,6.1889984007801955
GCA_000317795,0.278727518,0.475579288,0.475692025,0.555974182,0.094586521,0.151786375,0.437418057,0.407106508,0.51255559,0.527124849,0.229810814,0.223621666,0.248484387,0.167563649,0.53732957,0.450184293,0.357084895,0.25246133,0.441464078,0.539980047,0.110306989,0.304284112,0.392090024,0.670295089,0.42407317,0.40946492,0.554310951,0.314584303,0.067180628,0.268651403,0.448252664,0.340584579,0.126670616,0.146823706,0.412989631,0.265482625,,1.1545891625506874,-2.839375678869942,-0.368933963596597
GCA_000327485,0.571468844,0.487563847,0.064026452,0.652198816,0.598930383,0.544984866,0.266327488,0.578277009,0.742059717,0.54155827,0.634805975,0.16644162,0.572602923,0.694749846,0.409179035,0.143473666,0.215982021,0.343283594,0.682385943,0.085787937,0.811400789,0.103252684,0.413067093,0.260377694,0.209294139,0.093051083,0.868088399,0.554202634,0.147203259,0.58678004,0.274096605,0.791568928,0.596177969,0.76295573,0.83260023,0.583338386,,5.167388825746539,4.552510075144454,-2.996030955765363
GCA_000337215,,,,1.0,0.695050089,,0.622860893,0.72176545,,,0.833445495,,,0.780642314,0.92330736,,,0.929825157,0.867051207,,0.672280055,,0.558731239,0.729719987,,0.532965164,0.884895287,,,,,,,0.878614593,,0.803419619,,6.5460087715492605,1.6463503090064622,-0.26641098313108086
GCA_000337255,,,,0.540175036,0.492249762,,0.540432496,0.474686456,,,0.679630537,,,0.574455345,0.614017109,,,0.762285459,0.549802394,,0.554261759,,0.361351062,0.443119884,,0.415283595,0.484620137,,,,,,0.2964973,0.419123544,,0.440729143,,2.827245012484552,1.054269692820404,-0.09845108399304818
GCA_000337515,,,,0.724817346,0.587887534,,0.563554886,0.59663869,,,0.736850063,,,0.702154903,0.731463733,,,0.852374319,0.648719924,,0.665928832,,0.338902048,0.539313807,,0.496967938,0.827348064,,,,,,,0.553962917,,0.548964425,,4.436119557538883,1.2977728465743923,-0.067963475399119
GCA_000337695,,,,0.940375196,0.625943949,,0.589229904,0.713310436,,,0.84675597,,,0.807993559,0.842745599,,,0.934973381,0.854280969,,0.686460167,,0.531323165,0.677570481,,0.56606357,0.812727382,,,,,,,0.747034815,,0.772272157,,6.1236364580776765,1.6753018415434902,-0.2025007868872292
GCA_000337775,,,,0.633036248,0.470794344,,0.554841054,0.53421816,,,0.700464567,,,0.648573555,0.653237903,,,0.844236788,0.653474476,,0.577197063,,0.417009468,0.534976995,,0.438520442,0.648258498,,,,,,,0.442014859,,0.460345233,,3.623152931829409,1.0553405304217138,-0.20587387576450075
GCA_000380905,0.424782587,,0.390637708,0.340669703,0.303536391,0.252469339,,0.271751009,0.214549543,0.273675522,0.27311364,,0.206108896,0.454711677,0.371740198,0.334326672,0.227194315,0.198811348,0.252746405,0.235058551,0.301881988,,,0.334622604,0.422378489,0.176142255,0.348757186,0.182709979,0.205837592,0.135155455,0.309134528,0.279619432,,,,0.281542246,0.482481982,-0.8668395760721471,-0.05219280197788548,-0.5259034642150604
GCA_000385565,0.243257562,0.122401814,0.1061739,0.242338122,0.2666998,0.335276115,0.054380102,0.204411988,0.220606516,0.185909906,0.562717169,0.471416576,0.200194942,0.252967813,0.149128675,0.087689689,0.28427769,0.270128268,0.348557356,0.098137664,0.191685386,0.056265859,0.181480279,0.067538119,0.213488581,0.209563594,0.250606054,0.261812274,0.133273354,0.665931864,0.113732797,0.293021334,0.320126321,0.26949155,0.349757385,0.243254756,0.241915781,-2.9649122683597855,3.2301370823249838,-0.8689762722066514
GCA_000389735,0.261010593,0.623709827,0.477044738,0.699900022,0.180422377,0.151400649,0.466375929,0.396144947,0.500639638,0.371246058,0.160788986,0.039153381,0.249127735,0.17523095,0.230963836,0.596134174,0.315685635,0.30829847,0.524751878,0.561499978,0.13257271,0.217697001,0.484410671,0.638632897,0.461858923,0.481592731,0.306255342,0.284014526,0.440972379,0.261570988,0.630884618,0.526472386,0.133011131,0.152984684,0.434359337,0.24183666,0.593830378,2.029938476336857,-3.267345307414653,-0.663720347728699
GCA_000402355,0.557487944,0.267308499,0.418263738,0.055648996,0.034199831,0.130007889,,0.287848601,0.149161792,0.16999904,0.189066165,,0.551407424,0.242857272,0.037059946,0.196253283,0.102499065,0.088737855,0.235019015,0.81690442,0.239474795,,0.150016861,,0.537974331,0.358841186,,0.178919755,,,0.12780838,0.040224718,,0.537227533,0.072641484,0.14388584,0.124257152,-2.568008014476414,-1.7694928688283222,1.582514419007002
GCA_000402775,0.092370952,0.078358703,0.155114921,0.077350545,0.042840254,,,,,,,,,0.170090519,0.081859543,0.148176477,0.102866569,0.384680552,0.103010997,0.094800723,0.049117025,0.081613238,0.11345489,0.027042493,0.150839573,,,0.205335845,,0.13011625,,0.138540376,0.128428611,,,,,-4.145818461130111,0.7198736287146331,-0.18524960339067859
GCA_000403645,,,,0.558621424,0.470284826,,0.510273196,0.519059181,,,0.607622728,,,0.630997903,0.626175943,,,0.803518722,0.612282335,,0.477315416,,0.38679088,0.484852747,,0.409892454,0.527253726,,,,,,,0.356414048,,0.350561002,,2.8302802213945197,0.8257643658696855,-0.09654429108280489
GCA_000405245,,0.28734763,0.243512553,,,,0.23943047,0.089232586,,,,,,,,,,0.212571039,0.047339599,0.289587863,0.14897138,,,0.121226726,,,,0.094107703,,0.011053918,0.122703289,,,0.21946901,0.048584723,,0.15356757,-2.5692789282337127,-0.016458080566951562,0.12735247622877774
GCA_000455345,,,,0.547407651,0.690798176,,0.611910299,0.717804724,,,0.820267504,,,0.804694488,0.926392951,,,0.96200465,0.853205036,,0.706117871,,0.516227288,0.674458267,,0.542082885,0.849536192,,,,,,,0.85227928,,0.939884417,,6.047411933752085,1.8226436698108908,-0.3735615468472628
GCA_000455365,,,,0.547407651,0.708788151,,0.609612328,0.744783977,,,0.848239761,,,0.819902403,0.894388639,,,0.940535514,0.909793508,,0.70215377,,0.562011296,0.735451016,,0.535225243,0.823080517,,,,,,,0.860123214,,0.808370379,,6.09684889018724,1.741944974410439,-0.5668672458061688
GCA_000494185,0.055136509,0.45982677,,,0.273384185,,0.314126277,0.144016265,0.16194483,0.277647085,0.157517499,0.155437528,0.133194894,0.398293476,0.317235121,0.330095135,0.163614427,,,0.247790757,0.17839018,0.124497733,,0.273984251,,0.328152473,0.168396578,0.119137428,0.093805473,0.137422941,0.390249676,0.149885798,,,,0.173554822,,-2.382335875663592,-0.7021023808046527,-0.699861058792314
GCA_000494205,0.190159701,0.423716187,0.30698879,0.235642904,0.068595209,0.084637491,0.387830074,0.144760658,0.132010957,0.226027381,0.086610505,0.102843274,0.178507592,0.253376043,0.222739013,0.350166772,0.205836745,0.020293091,0.335371694,0.317169468,0.038240227,,0.193107844,0.117821041,,0.328347407,0.276816931,0.136579372,0.114123405,0.152346405,0.386903413,0.250154242,0.093106353,0.280783396,0.214217605,,0.300063982,-3.4321776621142814,-2.4261656608194913,-0.23156817080892508
